"Person ID";Nativeness;Frames;"String Type";Manner;Path;"Value Type";"Value"
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Total Body Change Right";11572
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Average Body Change Left";227
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Average Body Change Right";462
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Total Angle Change Left";7360
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Total Angle Change Right";4137
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Average Angle Change Left";294
1;Late;4387_4464;Mixed_2 (...-Manner+Path);running;curved;"Average Angle Change Right";165
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Total Body Change Left";6962
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Total Body Change Right";15507
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Average Body Change Left";240
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Average Body Change Right";534
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Total Angle Change Left";6384
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Total Angle Change Right";5404
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Average Angle Change Left";220
1;Late;4496_4586;Mixed_2 (...-Manner+Path);running;coil;"Average Angle Change Right";186
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Total Body Change Left";5243
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Total Body Change Right";10364
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Average Body Change Left";238
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Average Body Change Right";471
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Total Angle Change Left";4526
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Total Angle Change Right";2468
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Average Angle Change Left";205
1;Late;4603_4671;Mixed_2 (...-Manner+Path);running;zigzag;"Average Angle Change Right";112
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Total Body Change Left";5015
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Total Body Change Right";13510
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Average Body Change Left";263
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Average Body Change Right";711
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Total Angle Change Left";2827
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Total Angle Change Right";4609
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Average Angle Change Left";148
1;Late;4693_4753;Mixed_2 (...-Manner+Path);running;circle;"Average Angle Change Right";242
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Total Body Change Left";2915
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Total Body Change Right";9314
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Average Body Change Left";323
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Average Body Change Right";1034
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Total Angle Change Left";843
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Total Angle Change Right";1266
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Average Angle Change Left";93
1;Late;4811_4840;Conflated (Manner+Path);running;down-hill;"Average Angle Change Right";140
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Total Body Change Left";881
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Total Body Change Right";2737
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Average Body Change Left";146
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Average Body Change Right";456
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Total Angle Change Left";753
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Total Angle Change Right";1258
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Average Angle Change Left";125
1;Late;4900_4921;Conflated (Manner+Path);running;up-hill;"Average Angle Change Right";209
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Total Body Change Left";1367
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Total Body Change Right";4534
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Average Body Change Left";105
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Average Body Change Right";348
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Total Angle Change Left";1381
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Total Angle Change Right";2463
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Average Angle Change Left";106
1;Late;5389_5431;Conflated (Manner+Path);walking;curved;"Average Angle Change Right";189
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Total Body Change Left";3485
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Total Body Change Right";10719
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Average Body Change Left";151
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Average Body Change Right";466
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Total Angle Change Left";838
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Total Angle Change Right";2194
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Average Angle Change Left";36
1;Late;5460_5532;Conflated (Manner+Path);walking;coil;"Average Angle Change Right";95
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Total Body Change Left";2662
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Total Body Change Right";10908
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Average Body Change Left";133
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Average Body Change Right";545
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Total Angle Change Left";3432
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Total Angle Change Right";3656
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Average Angle Change Left";171
1;Late;5555_5617;Conflated (Manner+Path);walking;zigzag;"Average Angle Change Right";182
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Total Body Change Left";1415
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Total Body Change Right";5992
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Average Body Change Left";94
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Average Body Change Right";399
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Total Angle Change Left";444
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Total Angle Change Right";1711
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Average Angle Change Left";29
1;Late;5651_5698;Conflated (Manner+Path);walking;circle;"Average Angle Change Right";114
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Total Body Change Left";6229
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Total Body Change Right";8652
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Average Body Change Left";519
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Average Body Change Right";721
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Total Angle Change Left";1731
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Total Angle Change Right";2020
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Average Angle Change Left";144
1;Late;5747_5784;Conflated (Manner+Path);walking;down-hill;"Average Angle Change Right";168
1;Late;5836_5863;Conflated (Manner+Path);walking;up-hill;"Total Body Change Left";578
1;Late;5836_5863;Conflated (Manner+Path);walking;up-hill;"Total Body Change Right";2301
1;Late;5836_5863;Conflated (Manner+Path);walking;up-hill;"Average Body Change Left";72
1;Late;5836_5863;Conflated (Manner+Path);walking;up-hill;"Average Body Change Right";287
